title,hotmajor,school_url,Timerank,QSrank,IELTS_grade
密德萨斯大学,社会工作 戏剧和舞蹈 计算机科学 经济学 酒店，休闲，娱乐和旅游 体育科学,https://www.51offer.com/school/Middlesex.html,74,623,6
曼彻斯特城市大学,酒店，休闲，娱乐和旅游 图书馆和信息管理 护理 材料技术 教育 意大利语,https://www.51offer.com/school/Manchester-Metropolitan.html,72,763,11500-15840英镑/学年
切尔西艺术与设计学院,,https://www.51offer.com/school/Chelseacollege.html,,,1986年
英国国立电影电视学院,,https://www.51offer.com/school/NFTS.html,,,1971年
皇家音乐学院,,https://www.51offer.com/school/RAM.html,,,1883年
赫尔约克医学院,,https://www.51offer.com/school/HYMS.html,,,2003年
马兰欧尼时装与设计学院(伦敦校区),,https://www.51offer.com/school/IstitutoMarangoni.html,,,1935年
巴特莱特建筑学院,,https://www.51offer.com/school/Bartlett.html,,,15660-41410英镑/学年
伦敦商学院,,https://www.51offer.com/school/LBS.html,,,1964年
温彻斯特艺术学院,,https://www.51offer.com/school/WSA.html,,,14660-18010英镑/学年
爱丁堡艺术学院,,https://www.51offer.com/school/ECA.html,,,6.5
布莱顿及苏塞克斯医学院,,https://www.51offer.com/school/Sussex-Medical-School.html,,,27405英镑/学年
海斯洛普学院,,https://www.51offer.com/school/Heythrop.html,,,11500英镑/学年
高地和群岛大学,凯尔特研究 地理和环境科学,https://www.51offer.com/school/UHI.html,128,,5.5~6.5
格林多大学,护理 体育科学 教育 社会工作 计算机科学 商科,https://www.51offer.com/school/Glyndwr.html,125,,4.5~6.5
伦敦都市大学,材料技术 社会政策 药物学和药剂 建筑学 营养学 电气及电子工程,https://www.51offer.com/school/LMU.html,127,666,9000英镑/学年
波尔顿大学,社会政策 建造学 材料技术 社会工作 电气及电子工程 机械工程,https://www.51offer.com/school/Bolton.html,124,,6.5
东伦敦大学,人类学 解剖与生理学 物理治疗学 药物学和药剂 建筑学 土木工程,https://www.51offer.com/school/UEL.html,123,882,6
金斯顿大学,建造学 艺术 城镇和农村的规划和设计 航空和制造工程学 土木工程 考古学,https://www.51offer.com/school/Kingston.html,122,522,6.5~7.0
安格利亚鲁斯金大学,建造学 医学和相关学 考古学 哲学 社会政策 社会工作,https://www.51offer.com/school/Anglia-Ruskin.html,108,,13500-25000英镑/学年
圣马克与圣约翰大学学院,通信及传媒研究 教育 医学和相关学 体育科学 社会工作 英语,https://www.51offer.com/school/UCP.html,105,,1901
伦敦艺术大学,酒店，休闲，娱乐和旅游 建筑学 艺术 戏剧和舞蹈 商科 通信及传媒研究,https://www.51offer.com/school/UAL.html,109,,4.5~7.5
格林威治大学,土地及物业管理 农业与林业学 建造学 土木工程 机械工程 酒店，休闲，娱乐和旅游,https://www.51offer.com/school/Greenwich.html,107,885,6
南安普顿索伦特大学,建造学 酒店，休闲，娱乐和旅游 体育科学 社会工作 建筑学 电气及电子工程,https://www.51offer.com/school/Southampton-Solent.html,110,,3890-9500英镑/学年
提兹塞德大学,影像学 化学工程 护理 物理治疗学 土木工程 体育科学,https://www.51offer.com/school/Teesside.html,101,,10750-13000英镑/学年
布莱顿大学,建造学 酒店，休闲，娱乐和旅游 教育 语言学 社会政策 药物学和药剂,https://www.51offer.com/school/Brighton.html,104,,11780-12330英镑/学年
约克圣约翰大学,语言学 物理治疗学 体育科学 教育 音乐 神学和宗教研究,https://www.51offer.com/school/York-St-John.html,110,,10000-17250英镑/学年
伦敦现代舞蹈学院,,https://www.51offer.com/school/LCDS.html,,,16900英镑/学年
西苏格兰大学,教育 土木工程 酒店，休闲，娱乐和旅游 物理和天文 机械工程 会计和金融,https://www.51offer.com/school/West-of-Scotland.html,106,,1897
